	GupDM_A_11	GupDM_A_15	GupDM_A1	GupDM_A10	GupDM_A12	GupDM_A13	GupDM_A14	GupDM_A2	GupDM_A3	GupDM_A4	GupDM_A5	GupDM_A6	GupDM_A7	GupDM_A8	GupDM_A9	GupDM_HAG	GupDM_HAH	GupDM_HAI	GupDM_HAJ	GupDM_HAK	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HBR	GupDM_HCL	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCU	GupDM_HCV	GupDM_HCY	GupDM_HDB	GupDM_HDF	GupDM_HP	GupDM_HR	GupDM_HS	GupDM_JA	GupDM_JB	GupDM_JC	GupDM_JD	GupDM_JE	GupDM_JG	GupDM_JH	GupDM_JI	GupDM_JJ	GupDM_JK	GupDM_JL	GupDM_JM	GupDM_JN	GupDM_JO	GupDM_JP
study_name	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019	GuptaA_2019
subject_id	GupDM_A11	GupDM_A15	GupDM_A1	GupDM_A10	GupDM_A12	GupDM_A13	GupDM_A14	GupDM_A2	GupDM_A3	GupDM_A4	GupDM_A5	GupDM_A6	GupDM_A7	GupDM_A8	GupDM_A9	GupDM_HAG	GupDM_HAH	GupDM_HAI	GupDM_HAJ	GupDM_HAK	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HBR	GupDM_HCL	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCU	GupDM_HCV	GupDM_HCY	GupDM_HDB	GupDM_HDF	GupDM_HP	GupDM_HR	GupDM_HS	GupDM_JA	GupDM_JB	GupDM_JC	GupDM_JD	GupDM_JE	GupDM_JG	GupDM_JH	GupDM_JI	GupDM_JJ	GupDM_JK	GupDM_JL	GupDM_JM	GupDM_JN	GupDM_JO	GupDM_JP
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC
disease	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC
age	41	59	62	65	65	48	56	55	49	72	75	58	59	66	56	23	25	24	22	29	24	23	26	26	25	28	26	50	64	62	57	57	71	52	62	50	58	61	58	53	50	58	30	26	25	47	53	61	57	64	71	58	54	62	66	59	60	58	71	67
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	senior	senior	adult	adult	senior	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	senior	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	senior	adult	adult	adult	senior	adult	adult	adult	senior	senior
gender	female	male	male	female	male	male	male	male	male	male	female	female	male	female	female	female	female	male	female	female	female	female	female	female	male	male	male	female	female	female	male	female	male	female	male	female	male	male	female	female	female	female	male	male	male	female	female	male	male	male	male	female	male	female	female	female	male	male	male	male
country	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND	IND
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
sequencing_platform	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
PMID	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	30698687	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139	31719139
number_reads	6227234	9884266	27687226	8468208	6988838	8067640	10038762	7916638	3283982	12005312	7220182	8086526	7268266	11368644	4665104	8105478	10271966	17519102	6171104	10655514	9271322	12979624	13145190	16932172	12355776	10185816	5952458	4251494	7355758	7352590	10142394	9242932	6704578	5635222	6710528	5521326	9651384	11104842	10996252	5247522	4717922	7376354	9276878	8951472	13442182	7561246	6436176	7854080	5660024	6825048	8460528	12994616	11460622	8350184	10425236	9878044	10328094	9789278	11274338	10400668
number_bases	883347281	1384530792	3808647004	1174245166	984235167	1118699109	1413415112	1100929747	456791391	1619915370	997921511	1064744495	939363261	1560459053	661492622	1036575018	1316013844	2142440783	773772009	1344200520	1203927125	1688320620	1696663348	2103248766	1610417458	1327594148	802869306	616943354	1016781080	1010009755	1313430561	1256070078	914569895	793309934	937125039	754584053	1363678978	1433920763	1517224723	742418100	668018094	1037368291	1156488365	1153088906	1677800044	1040725254	882523087	1057890138	780426560	920913556	1130086052	1753239492	1547957943	1151783466	1449671956	1387793557	1435043694	1347588954	1501226163	1428270555
minimum_read_length	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	32	32	35	32	32	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	32	32	32	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
median_read_length	151	150	150	150	150	150	151	150	150	150	150	150	150	150	151	150	150	149	150	150	150	150	150	150	150	150	150	151	150	150	150	150	150	150	150	150	150	150	150	151	151	151	150	150	150	150	150	150	150	150	150	150	150	150	150	151	150	150	150	150
NCBI_accession	SRR8865600	SRR8865596	SRR8865598	SRR8865599	SRR8865601	SRR8865594	SRR8865595	SRR8865597	SRR8865592	SRR8865593	SRR8865584	SRR8865585	SRR8865586	SRR8865587	SRR8865588	SRR5898912	SRR5898911	SRR5898910	SRR5898909	SRR5898908	SRR5898920	SRR5898921	SRR5898922	SRR5898923	SRR5898924	SRR5898925	SRR5898926	SRR5899017	SRR5898966	SRR5898984	SRR5898985	SRR5898986	SRR5898987	SRR5898980	SRR5898981	SRR5898982	SRR5898983	SRR5898978	SRR5898979	SRR5898954	SRR5898950	SRR5898948	SRR5899005	SRR5899007	SRR5899006	SRR8865589	SRR8865590	SRR8865591	SRR8865582	SRR8865583	SRR8865577	SRR8865576	SRR8865579	SRR8865578	SRR8865573	SRR8865572	SRR8865575	SRR8865574	SRR8865581	SRR8865580
curator	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi	Arianna_Bonetti;Paolo_Manghi
BMI	19.22	21.4	20.08	21.01	20.32	18.69	20.45	19.14	20.83	18.22	21.21	22.67	19.1	20.5	22.22	22.3	21.26	26.03	23.23	22.03	23.25	19.22	22.03	20.82	21.71	25.51	22.65	27.1	36.4	22.9	17.9	20.8	19.2	23	20.8	17.9	19.2	19.5	19.9	26.8	25.1	25.7	19.36	22.22	18.3	23.81	22.97	19.47	21.7	20.08	18.07	21.49	18.96	20.03	18.73	20.34	18.33	19.92	20.03	17.69
disease_subtype	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma	adenocarcinoma
population	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Kerala	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Kerala	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Kerala	Kerala	Kerala	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal	Bhopal
tnm	t2m0n0	t2n0m0	t2n0m0	t3n2m0	t2n2m0	t3n0m0	t4n1m0	t3n2m0	t4n1m0	t3n2m0	t3n2m0	t4n1m0	t4n2m0	t1n0m0	t4n1m0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	t1n0m0	t4n1m0	t3n2m0	t1n0m0	t1n0m0	t1n0m0	t4n1m0	t2n0m0	t2n0m1	t4n1m0	t4n1m0	t2n0m0	t2n0m0	t4n1m0	t3n2m0
