	SID5411-1	SID5411-2	SID5411-3	SID5411-4	SID5412-1	SID5412-2	SID5412-3	SID5412-4	SID5413-1	SID5413-2	SID5413-3	SID5413-4	SID5414-1	SID5414-2	SID5414-3	SID5414-4	SID5415-1	SID5415-2	SID5415-3	SID5415-4	SID5416-1	SID5416-2	SID5417-1	SID5417-2	SID5417-3	SID5417-4	SID5418-1	SID5419-1	SID5420-1	SID5420-2	SID5420-3	SID5421-1	SID5421-2	SID5421-3	SID5421-4	SID5423-1	SID5423-2	SID5423-3	SID5423-4	SID5425-1	SID5425-2	SID5425-3	SID5425-4	SID5426-1	SID5427-1	SID5427-2	SID5427-3	SID5427-4	SID5428-1	SID5428-2	SID5428-3	SID5428-4	SID5429-1	SID5429-2	SID5429-3	SID5429-4	SID5433-1	SID5433-2	SID5433-3	SID5433-4	SID5434-1	SID5434-2	SID5434-3	SID5434-4	SID5435-1	SID5435-2	SID5435-3	SID5435-4	SID5438-1	SID5438-2	SID5438-3	SID5438-4	SID5439-1	SID5439-2	SID5439-3	SID5439-4	SID5440-1	SID5440-2	SID5440-3	SID5440-4	SID5441-1	SID5441-2	SID5441-3	SID5441-4	SID5442-1	SID5442-2	SID5442-3	SID5442-4	SID5443-1	SID5443-2	SID5443-3	SID5443-4	SID5444-1	SID5444-2	SID5444-3	SID5444-4	SID5445-1	SID5445-2	SID5445-3	SID5445-4	SID5446-1	SID5446-2	SID5446-3	SID5446-4	SID5448-1	SID5448-2	SID5448-3	SID5448-4	SID5449-1	SID5449-2	SID5449-3	SID5449-4	SID5450-1	SID5450-2	SID5450-3	SID5450-4	SID5451-1	SID5451-2	SID5451-3	SID5451-4	SID5452-1	SID5453-1	SID5453-2	SID5453-3	SID5453-4	SID5454-1	SID5454-2	SID5454-3	SID5454-4	SID5455-1	SID5455-2	SID5455-3	SID5455-4	SID5457-1	SID5457-2	SID5457-3	SID5457-4	SID5458-1	SID5458-2	SID5458-3	SID5458-4	SID5459-1	SID5460-1	SID5460-2	SID5460-3	SID5460-4	SID5461-1	SID5461-2	SID5461-3	SID5461-4	SID5462-1	SID5462-2	SID5462-3	SID5462-4	SID5463-1	SID5463-2	SID5463-3	SID5463-4	SID5465-1	SID5466-1	SID5466-2	SID5466-3	SID5466-4	SID5467-1	SID5467-2	SID5467-3	SID5467-4	SID5468-1	SID5468-2	SID5468-3	SID5468-4	SID5469-1	SID5469-2	SID5469-3	SID5469-4	SID5470-3	SID5470-4	SID5473-1	SID5473-2	SID5473-3	SID5473-4	SID5474-3	SID5474-4	SID5476-1	SID5476-2	SID5476-3	SID5476-4	SID5477-1	SID5477-2	SID5477-3	SID5477-4	SID5478-1	SID5478-2	SID5478-3	SID5478-4	SID5479-1	SID5479-2	SID5479-3	SID5479-4	SID5480-1	SID5480-2	SID5480-3	SID5480-4	SID5481-1	SID5481-2	SID5481-3	SID5481-4
study_name	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018	HansenLBS_2018
subject_id	SID5411	SID5411	SID5411	SID5411	SID5412	SID5412	SID5412	SID5412	SID5413	SID5413	SID5413	SID5413	SID5414	SID5414	SID5414	SID5414	SID5415	SID5415	SID5415	SID5415	SID5416	SID5416	SID5417	SID5417	SID5417	SID5417	SID5418	SID5419	SID5420	SID5420	SID5420	SID5421	SID5421	SID5421	SID5421	SID5423	SID5423	SID5423	SID5423	SID5425	SID5425	SID5425	SID5425	SID5426	SID5427	SID5427	SID5427	SID5427	SID5428	SID5428	SID5428	SID5428	SID5429	SID5429	SID5429	SID5429	SID5433	SID5433	SID5433	SID5433	SID5434	SID5434	SID5434	SID5434	SID5435	SID5435	SID5435	SID5435	SID5438	SID5438	SID5438	SID5438	SID5439	SID5439	SID5439	SID5439	SID5440	SID5440	SID5440	SID5440	SID5441	SID5441	SID5441	SID5441	SID5442	SID5442	SID5442	SID5442	SID5443	SID5443	SID5443	SID5443	SID5444	SID5444	SID5444	SID5444	SID5445	SID5445	SID5445	SID5445	SID5446	SID5446	SID5446	SID5446	SID5448	SID5448	SID5448	SID5448	SID5449	SID5449	SID5449	SID5449	SID5450	SID5450	SID5450	SID5450	SID5451	SID5451	SID5451	SID5451	SID5452	SID5453	SID5453	SID5453	SID5453	SID5454	SID5454	SID5454	SID5454	SID5455	SID5455	SID5455	SID5455	SID5457	SID5457	SID5457	SID5457	SID5458	SID5458	SID5458	SID5458	SID5459	SID5460	SID5460	SID5460	SID5460	SID5461	SID5461	SID5461	SID5461	SID5462	SID5462	SID5462	SID5462	SID5463	SID5463	SID5463	SID5463	SID5465	SID5466	SID5466	SID5466	SID5466	SID5467	SID5467	SID5467	SID5467	SID5468	SID5468	SID5468	SID5468	SID5469	SID5469	SID5469	SID5469	SID5470	SID5470	SID5473	SID5473	SID5473	SID5473	SID5474	SID5474	SID5476	SID5476	SID5476	SID5476	SID5477	SID5477	SID5477	SID5477	SID5478	SID5478	SID5478	SID5478	SID5479	SID5479	SID5479	SID5479	SID5480	SID5480	SID5480	SID5480	SID5481	SID5481	SID5481	SID5481
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	59	59	59	59	50	50	50	50	59	59	59	59	64	64	64	64	59	59	59	59	40	40	46	46	46	46	45	38	45	45	45	51	51	51	51	42	42	42	42	41	41	41	41	26	49	49	49	49	53	53	53	53	51	51	51	51	60	60	60	60	22	22	22	22	65	65	65	65	46	46	46	46	53	53	53	53	50	50	50	50	46	46	46	46	54	54	54	54	42	42	42	42	27	27	27	27	43	43	43	43	55	55	55	55	45	45	45	45	54	54	54	54	57	57	57	57	57	57	57	57	62	51	51	51	51	54	54	54	54	52	52	52	52	30	30	30	30	64	64	64	64	56	55	55	55	55	52	52	52	52	38	38	38	38	52	52	52	52	34	61	61	61	61	63	63	63	63	54	54	54	54	64	64	64	64	54	54	48	48	48	48	65	65	23	23	23	23	48	48	48	48	27	27	27	27	65	65	65	65	32	32	32	32	46	46	46	46
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
gender	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	male	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	female	male	male	male	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	male	male	male	female	female	female	female	female	female	female	female	male	male	male	male	female	female	female	female	female	female	female	female	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	male	male	male	male	female	female	female	female	female	female	female	female	female	female	female	female	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	male	male	male	female	female	female	female	male	male	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	male	male	male	female	female	female	female	male	male	male	male
country	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK
