	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
study_name	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017
subject_id	subIJ_1	subIJ_21	subIJ_21	subIJ_21	subIJ_28	subIJ_56	subIJ_50	subIJ_3	subIJ_51	subIJ_52	subIJ_53	subIJ_61	subIJ_25	subIJ_3	subIJ_29	subIJ_30	subIJ_31	subIJ_32	subIJ_33	subIJ_33	subIJ_3	subIJ_33	subIJ_33	subIJ_33	subIJ_33R	subIJ_34	subIJ_35	subIJ_36	subIJ_37	subIJ_38	subIJ_39	subIJ_3	subIJ_40	subIJ_41	subIJ_42	subIJ_43	subIJ_44	subIJ_45	subIJ_46	subIJ_47	subIJ_3	subIJ_3R	subIJ_1	subIJ_4R	subIJ_5	subIJ_5	subIJ_5	subIJ_1	subIJ_5	subIJ_5	subIJ_6	subIJ_6	subIJ_6	subIJ_6	subIJ_6	subIJ_1	subIJ_7R	subIJ_8	subIJ_8	subIJ_8	subIJ_8	subIJ_8	subIJ_1	subIJ_8R	subIJ_9	subIJ_9	subIJ_9	subIJ_9	subIJ_9	subIJ_10	subIJ_10	subIJ_10	subIJ_10	subIJ_1R	subIJ_10	subIJ_11	subIJ_11	subIJ_11	subIJ_11	subIJ_11	subIJ_11R	subIJ_12	subIJ_12	subIJ_12	subIJ_12	subIJ_12R	subIJ_13	subIJ_14R	subIJ_15	subIJ_15	subIJ_15	subIJ_15	subIJ_15R	subIJ_16R
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
study_condition	IBD	IBD	IBD	IBD	control	control	control	IBD	control	control	control	control	control	IBD	control	control	control	control	IBD	IBD	IBD	IBD	IBD	IBD	control	control	control	control	control	control	control	IBD	control	control	control	control	control	control	control	control	IBD	control	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	control	control	control	IBD	IBD	IBD	IBD	control	control
disease	IBD	IBD	IBD	IBD	healthy	healthy	healthy	IBD	healthy	healthy	healthy	healthy	healthy	IBD	healthy	healthy	healthy	healthy	IBD	IBD	IBD	IBD	IBD	IBD	healthy	healthy	healthy	healthy	healthy	healthy	healthy	IBD	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	IBD	healthy	IBD	healthy	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	healthy	IBD	IBD	IBD	IBD	IBD	IBD	healthy	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	healthy	IBD	IBD	IBD	IBD	IBD	IBD	healthy	IBD	IBD	IBD	IBD	healthy	healthy	healthy	IBD	IBD	IBD	IBD	healthy	healthy
age	8	13	13	14	7	NA	10	12	7	8	10	13	12	12	16	9	11	13	9	9	12	9	9	9	40	42	40	34	39	36	55	12	52	61	39	40	33	39	36	49	13	40	8	37	12	12	12	8	12	12	7	7	7	7	7	8	39	14	14	14	14	14	8	36	12	12	12	12	12	14	14	14	14	45	14	12	12	13	13	13	43	13	13	13	13	45	10	51	11	11	11	11	42	45
age_category	child	schoolage	schoolage	schoolage	child	adult	child	schoolage	child	child	child	schoolage	schoolage	schoolage	schoolage	child	child	schoolage	child	child	schoolage	child	child	child	adult	adult	adult	adult	adult	adult	adult	schoolage	adult	adult	adult	adult	adult	adult	adult	adult	schoolage	adult	child	adult	schoolage	schoolage	schoolage	child	schoolage	schoolage	child	child	child	child	child	child	adult	schoolage	schoolage	schoolage	schoolage	schoolage	child	adult	schoolage	schoolage	schoolage	schoolage	schoolage	schoolage	schoolage	schoolage	schoolage	adult	schoolage	schoolage	schoolage	schoolage	schoolage	schoolage	adult	schoolage	schoolage	schoolage	schoolage	adult	child	adult	child	child	child	child	adult	adult
gender	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	male	NA	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	female	NA	NA	NA	NA	NA	NA	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	female	NA	NA	NA	NA	NA	NA	male	NA	NA	NA	NA	male	NA	male	NA	NA	NA	NA	female	male
country	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR
