	SAMEA4719760	SAMEA4719761	SAMEA4719762	SAMEA4719763	SAMEA4719764	SAMEA4719765	SAMEA4719766	SAMEA4719767	SAMEA4719768	SAMEA4719769	SAMEA4719770	SAMEA4719771	SAMEA4719772	SAMEA4719773	SAMEA4719774	SAMEA4719775	SAMEA4719776	SAMEA4719777	SAMEA4719778	SAMEA4719779	SAMEA4719780	SAMEA4719781	SAMEA4719782	SAMEA4719783	SAMEA4719784	SAMEA4719785	SAMEA4719786	SAMEA4719787	SAMEA4719788	SAMEA4719789	SAMEA4719790	SAMEA4719791	SAMEA4719792	SAMEA4719793	SAMEA4719794	SAMEA4719795	SAMEA4719796	SAMEA4719797	SAMEA4719798	SAMEA4719799	SAMEA4719800	SAMEA4719801	SAMEA4719802	SAMEA4719803	SAMEA4719804	SAMEA4719805	SAMEA4719806	SAMEA4719807	SAMEA4719808	SAMEA4719809	SAMEA4719810	SAMEA4719811	SAMEA4719812	SAMEA4719813	SAMEA4719814	SAMEA4719815	SAMEA4719816
study_name	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019	LokmerA_2019
subject_id	BAB01a	BAB04a	BAB06a	BAB07a	BAB08a	BAB09a	BAB11a	BAB15a	BAB16a	BAB18a	BAB19a	BAB20a	BAB22a	BAB23a	BAB29a	BAB30a	BAN01a	BAN02a	BAN03a	BAN05a	BAN07a	MVC01a	MVC03a	MVC04a	MVC05a	MVC06a	MVC08a	MVC09a	MVC11a	MVC12a	MVC13a	MVC14a	MVC15a	MVC16a	MVC17a	MVC18a	MVC21a	MVC23a	YAE01a	YAE02a	YAE03a	YAE05a	YAE07a	YAE09a	YAE10a	YAE11a	YAE14a	YAE15a	YAE16a	YAE17a	YAE18a	YAE19a	YAE20a	YAE22a	YAE24a	YAE25a	YAE26a
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	61	41	49	57	53	36	33	59	73	31	61	30	27	30	67	49	62	65	58	78	56	36	57	75	54	29	48	46	26	63	43	68	52	61	29	27	45	47	51	50	40	59	63	50	62	53	40	68	45	70	56	63	54	43	73	31	44
age_category	adult	adult	adult	adult	adult	adult	adult	adult	senior	adult	adult	adult	adult	adult	senior	adult	adult	adult	adult	senior	adult	adult	adult	senior	adult	adult	adult	adult	adult	adult	adult	senior	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	senior	adult	senior	adult	adult	adult	adult	senior	adult	adult
gender	male	male	female	male	female	male	female	female	female	female	male	male	female	female	female	male	male	male	male	male	female	male	male	male	male	male	male	female	female	male	female	male	female	female	female	female	male	male	female	male	male	male	male	male	male	female	female	male	female	male	female	male	male	female	female	male	female
country	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR	CMR
non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
