	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
study_name	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018	MatsonV_2018
subject_id	SAM_P01	SAM_P02	SAM_P03	SAM_P04	SAM_P05	SAM_P06	SAM_P07	SAM_P08	SAM_P10	SAM_P11	SAM_P12	SAM_P13	SAM_P14	SAM_P15	SAM_P16	SAM_P17	SAM_P18	SAM_P19	SAM_P20	SAM_P21	SAM_P22	SAM_P23	SAM_P24	SAM_P25	SAM_P26	SAM_P27	SAM_P28	SAM_P29	SAM_P30	SAM_P31	SAM_P32	SAM_P33	SAM_P34	SAM_P35	SAM_P36	SAM_P37	SAM_P38	SAM_P39	SAM_P40
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
study_condition	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma	melanoma
disease	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases	melanoma;metastases
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
sequencing_platform	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq	IlluminaNextSeq
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
PMID	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014	29302014
number_reads	73456444	41661466	103147884	41486188	63184948	141057934	53486214	70181934	147874366	77750816	48391540	89563216	38841706	156677784	46155686	132943620	103127120	93652612	47681804	146347552	59080914	108413052	78439016	42235316	71707798	56420468	102797666	61491192	68169660	46760158	87258642	54520570	64244010	102963172	130326496	79432654	64815726	41169368	97489992
number_bases	11057361847	6270457293	15520345314	6245017183	9510045296	21220498566	8051063985	10557209729	22252458983	11700675918	7282716721	13413558306	5846414930	23434172015	6946521728	19917956579	15518882117	14095757358	7173857143	22008608876	8892810237	16287504405	11804850010	6357118127	10792788253	8491250548	15446515537	9254324230	10259095184	7038691874	13122918786	8206528512	9640706749	15491805343	19608627392	11831144024	9755757015	6196645358	14672373325
minimum_read_length	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	28
median_read_length	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
NCBI_accession	SRR6000894	SRR6000893	SRR6000899	SRR6000873	SRR6000874	SRR6000877	SRR6000871	SRR6000878	SRR6000944	SRR6000940	SRR6000945	SRR6000943	SRR6000890	SRR6000869	SRR6000946	SRR6000949	SRR6000896	SRR6000947	SRR6000903	SRR6000905	SRR6000902	SRR6000901	SRR6000906	SRR6000942	SRR6000910	SRR6000900	SRR6000931	SRR6000870	SRR6000907	SRR6000891	SRR6000909	SRR6000908	SRR6000911	SRR6000892	SRR6000920	SRR6000912	SRR6000921	SRR6000932	SRR6000895
