	ESS-0005	ESS-0010	ESS-0014	ESS-0020	ESS-0026	ESS-0035	ESS-0039	ESS-0044	ESS-0053	ESS-0058	ESS-0062	ESS-0068	ESS-0077	ESS-0080	ESS-0088	ESS-0093	ESS-0098	ESS-0104	ESS-0113	ESS-0119	ESS-0123	ESS-0129	ESS-0136	ESS-0141	ESS-0147	ESS-0155	ESS-0158	ESS-0165	ESS-0172	ESS-0177	ESS-0184	ESS-0188	ESS-0195	ESS-0202	ESS-0208	ESS-0215	ESS-0219	ESS-0224	ESS-0231	ESS-0237	ESS-0243	ESS-0251	ESS-0254	ESS-0262	ESS-0268	ESS-0272	ESS-0280	ESS-0286	ESS-0290	ESS-0296	ESS-0302	ESS-0308	ESS-0316	ESS-0321	ESS-0326	ESS-0335	ESS-0338	ESS-0347	ESS-0353	ESS-0359	ESS-0364	ESS-0371	ESS-0376	ESS-0383	ESS-0386	ESS-0394	ESS-0400	ESS-0405	ESS-0410	ESS-0419	ESS-0425	ESS-0430	ESS-0435	ESS-0441	ESS-0447	ESS-0452	ESS-0459	ESS-0467	ESS-0473	ESS-0476	ESS-0482	ESS-0489	ESS-0496	ESS-0501	ESS-0506	ESS-0513	ESS-0521	ESS-0526	ESS-0531	ESS-0536	ESS-0542	ESS-0550	ESS-0555	ESS-0561	ESS-0569	ESS-0578	ESS-0586	ESS-0590	ESS-0596	ESS-0603
study_name	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017	NagySzakalD_2017
subject_id	ESS-0005	ESS-0010	ESS-0014	ESS-0020	ESS-0026	ESS-0035	ESS-0039	ESS-0044	ESS-0053	ESS-0058	ESS-0062	ESS-0068	ESS-0077	ESS-0080	ESS-0088	ESS-0093	ESS-0098	ESS-0104	ESS-0113	ESS-0119	ESS-0123	ESS-0129	ESS-0136	ESS-0141	ESS-0147	ESS-0155	ESS-0158	ESS-0165	ESS-0172	ESS-0177	ESS-0184	ESS-0188	ESS-0195	ESS-0202	ESS-0208	ESS-0215	ESS-0219	ESS-0224	ESS-0231	ESS-0237	ESS-0243	ESS-0251	ESS-0254	ESS-0262	ESS-0268	ESS-0272	ESS-0280	ESS-0286	ESS-0290	ESS-0296	ESS-0302	ESS-0308	ESS-0316	ESS-0321	ESS-0326	ESS-0335	ESS-0338	ESS-0347	ESS-0353	ESS-0359	ESS-0364	ESS-0371	ESS-0376	ESS-0383	ESS-0386	ESS-0394	ESS-0400	ESS-0405	ESS-0410	ESS-0419	ESS-0425	ESS-0430	ESS-0435	ESS-0441	ESS-0447	ESS-0452	ESS-0459	ESS-0467	ESS-0473	ESS-0476	ESS-0482	ESS-0489	ESS-0496	ESS-0501	ESS-0506	ESS-0513	ESS-0521	ESS-0526	ESS-0531	ESS-0536	ESS-0542	ESS-0550	ESS-0555	ESS-0561	ESS-0569	ESS-0578	ESS-0586	ESS-0590	ESS-0596	ESS-0603
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	no	NA	NA	no	no	NA	NA	no	no	no	NA	no	NA	NA	NA	no	no	NA	no	NA	no	NA	NA	no	no	no	no	no	NA	no	no	NA	no	NA	NA	NA	no	no	no	NA	no	NA	NA	no	no	NA	NA	no	NA	NA	NA	no	no	NA	NA	no	no	NA	NA	NA	no	no	NA	NA	NA	NA	no	no	NA	NA	no	NA	NA	no	no	NA	NA	no	no	no	no	no	NA	NA	NA	NA	no	no	NA	no	no	NA	no	no	no	no
study_condition	ME/CFS	ME/CFS	ME/CFS	ME/CFS	control	ME/CFS	ME/CFS	control	control	ME/CFS	ME/CFS	control	control	control	ME/CFS	control	ME/CFS	ME/CFS	ME/CFS	control	control	ME/CFS	control	ME/CFS	control	ME/CFS	ME/CFS	control	control	control	control	control	ME/CFS	control	control	ME/CFS	control	ME/CFS	ME/CFS	ME/CFS	control	control	control	ME/CFS	control	ME/CFS	ME/CFS	control	control	ME/CFS	ME/CFS	control	ME/CFS	ME/CFS	ME/CFS	control	control	ME/CFS	ME/CFS	control	control	ME/CFS	ME/CFS	ME/CFS	control	control	ME/CFS	ME/CFS	ME/CFS	ME/CFS	control	control	ME/CFS	ME/CFS	control	ME/CFS	ME/CFS	control	control	ME/CFS	ME/CFS	control	control	control	control	control	ME/CFS	ME/CFS	ME/CFS	ME/CFS	control	control	ME/CFS	control	control	ME/CFS	control	control	control	control
disease	ME/CFS	ME/CFS	ME/CFS	ME/CFS	healthy	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	ME/CFS	healthy	healthy	healthy	ME/CFS	healthy	ME/CFS	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	healthy	ME/CFS	healthy	ME/CFS	ME/CFS	healthy	healthy	healthy	healthy	healthy	ME/CFS	healthy	healthy	ME/CFS	healthy	ME/CFS	ME/CFS	ME/CFS	healthy	healthy	healthy	ME/CFS	healthy	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	ME/CFS	healthy	ME/CFS	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	ME/CFS	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	ME/CFS	healthy	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	ME/CFS	healthy	healthy	healthy	healthy	healthy	ME/CFS	ME/CFS	ME/CFS	ME/CFS	healthy	healthy	ME/CFS	healthy	healthy	ME/CFS	healthy	healthy	healthy	healthy
age	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
gender	female	female	male	female	female	male	female	female	female	female	female	male	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	female	female	female	female	female	male	female	female	female	female	female	female	male	male	female	female	female	female	female	female	male	female	female	female	female	female	male	male	female	female	female	female	female	male	female	female	female	female	female	female	female	female	female	female	female	female	male	female	female	female	female	female	female	female	female	female	male	male	female	male	female	male	female	male
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
