	MET0001	MET0002	MET0004	MET0005	MET0006	MET0007	MET0008	MET0009	MET0010	MET0011	MET0012	MET0013	MET0014	MET0015	MET0016	MET0017	MET0020	MET0021	MET0022	MET0023	MET0024	MET0025	MET0026	MET0027	MET0028	MET0029	MET0030	MET0031	MET0032	MET0033	MET0034	MET0035	MET0038	MET0039	MET0040	MET0041	MET0042	MET0043	MET0044	MET0045	MET0046	MET0047	MET0048	MET0049	MET0050	MET0051	MET0052	MET0053	MET0054	MET0055	MET0056	MET0057	MET0060	MET0061	MET0062	MET0064	MET0065	MET0066	MET0067	MET0068	MET0069	MET0070	MET0073	MET0074	MET0075	MET0076	MET0081	MET0082	MET0083	MET0084	MET0085	MET0086	MET0087	MET0088	MET0089	MET0090	MET0091	MET0092	MET0093	MET0094	MET0095	MET0096	MET0097	MET0100	MET0102	MET0103	MET0104	MET0105	MET0106	MET0107	MET0108	MET0109	MET0110	MET0111	MET0112	MET0113	MET0114	MET0115	MET0116	MET0117	MET0118	MET0119	MET0120	MET0121	MET0122	MET0123	MET0124	MET0125	MET0126	MET0127	MET0128	MET0129	MET0130	MET0131	MET0132	MET0133	MET0134	MET0135	MET0136	MET0137	MET0138	MET0139	MET0141	MET0142	MET0143	MET0144	MET0155	MET0156	MET0157	MET0158	MET0159	MET0160	MET0161	MET0162	MET0163	MET0164	MET0165	MET0166	MET0167	MET0168	MET0169	MET0170	MET0171	MET0172	MET0173	MET0174	MET0175	MET0176	MET0177	MET0178	MET0179	MET0180	MET0181	MET0182	MET0183	MET0184	MET0185	MET0186	MET0187	MET0188	MET0189	MET0190	MET0191	MET0192	MET0193	MET0194	MET0195	MET0196	MET0197	MET0198	MET0199	MET0200	MET0201	MET0202	MET0203	MET0204	MET0205	MET0206	MET0207	MET0208	MET0209	MET0210	MET0211	MET0212	MET0213	MET0214	MET0215	MET0216	MET0217	MET0218	MET0219	MET0220	MET0221	MET0222	MET0223	MET0224	MET0225	MET0226	MET0227	MET0228	MET0229	MET0230	MET0231	MET0232	MET0233	MET0234	MET0235	MET0236	MET0237	MET0238	MET0239	MET0240	MET0241	MET0243	MET0244	MET0245	MET0246	MET0247	MET0248	MET0249	MET0250	MET0251	MET0252	MET0253	MET0254	MET0255	MET0256	MET0257	MET0258	MET0259	MET0260	MET0261	MET0262	MET0263	MET0264	MET0265	MET0266	MET0267	MET0268	MET0269	MET0270	MET0271	MET0272	MET0273	MET0274	MET0275	MET0276	MET0277	MET0278	MET0279	MET0280	MET0281	MET0282	MET0283	MET0284	MET0285	MET0286	MET0287	MET0288	MET0289	MET0290	MET0291	MET0292	MET0293	MET0294	MET0295	MET0296	MET0297	MET0298	MET0299	MET0300	MET0301	MET0302	MET0303	MET0304	MET0305	MET0306	MET0307	MET0308	MET0309	MET0310	MET0311	MET0312	MET0313	MET0314	MET0315	MET0316	MET0317	MET0318	MET0319	MET0320
study_name	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014	OhJ_2014
subject_id	HV04	HV04	LOWSTAGGERED_MOCK	HV04	HV04	HV04	LOWSTAGGERED_MOCK	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV01	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV03	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV02	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV04	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	HV05	SH01	SH01	SH01	SH01	SH01	SH01	SH01	SH01	SH01	SH01	SH01	SH01	SH02	SH02	SH02	SH02	SH02	SH02	SH02	SH02	SH02	SH02	SH02	SH02	HV02	HV06	HV06	HV06	HV06	HV06	HV06	HV06	HV06	HV06	HV06	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV08	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	HV07	BAYLOR_MOCK	BROAD_MOCK	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV09	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV10	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV11	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV12	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV13	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV14	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15	HV15
body_site	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin	skin
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
gender	female	female	NA	female	female	female	NA	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	NA	NA	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female	female
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
