	SID010101	SID010102	SID010104	SID010201	SID010202	SID010204	SID010301	SID010302	SID010304	SID010401	SID010402	SID010404	SID01A_000	SID01A_006	SID01A_220	SID01B_000	SID01B_007	SID01B_221	SID01C_235	SID01C_566	SID01D_013	SID01D_190	SID01D_570	SID01E_000	SID01E_015	SID01E_191	SID01F_239	SID01F_573	SID01G_000	SID01G_005	SID01G_234	SID01H_011	SID01H_202	SID01H_568	SID01I_012	SID01I_569	SID01J_010	SID01J_173	SID020101	SID020102	SID020104	SID020201	SID020202	SID020204	SID020301	SID020302	SID020304	SID02A_561	SID02B_552	SID02C_553	SID030101	SID030102	SID030104	SID030201	SID030202	SID030204	SID030301	SID030502	SID030504	SID030601	SID030602	SID030604	SID030701	SID030702	SID030704	SID03A_000	SID03B_000	SID03C_000	SID03D_000	SID03E_000	SID03F_000	SID03G_000	SID040101	SID040104	SID040201	SID040202	SID040203	SID040204	SID040301	SID040303	SID040304	SID04B_564	SID04C_565	SID04D_562	SID04E_563	SID05A_000	SID05B_000	SID05C_000	SID05D_000	SID060101	SID060102	SID060201	SID060202	SID060301	SID060302	SID060401	SID060402	SID060502	SID060601	SID060602	SID07A_558	SID07C_541	SID07D_542	SID07E_559	SID080101	SID080102	SID080104	SID080301	SID080302	SID080304	SID08A_000	SID08A_022	SID08A_236	SID08B_044	SID08C_021	SID08D_079	SID08D_257	SID08D_572	SID08E_000	SID08E_041	SID08E_160	SID08F_000	SID08F_040	SID08G_000	SID08G_023	SID08H_000	SID08H_008	SID08I_009	SID08I_170	SID08I_545	SID08J_078	SID08K_032	SID08K_237	SID08K_560	SID090101	SID090102	SID090201	SID09A_515	SID09B_516	SID09C_517	SID09D_518	SID09E_519	SID100201	SID100202	SID100204	SID100301	SID100302	SID100304	SID100401	SID100402	SID100404	SID140101	SID140102	SID140104	SID140201	SID140202	SID140301	SID140302	SID140304	SID190101	SID190104	SID210101	SID210102	SID210104	SID210201	SID210204	SID210301	SID210302	SID210304	SID210401	SID210402	SID210404	SID240101	SID240102	SID240104	SID240201	SID240202	SID240301	SID240302	SID240304	SID240401	SID240402	SID250101	SID250102	SID250104	SID250301	SID250501	SID250502	SID250701	SID250702	SID250704
study_name	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016	PehrssonE_2016
subject_id	SID1_1	SID1_1	SID1_1	SID1_2	SID1_2	SID1_2	SID1_3	SID1_3	SID1_3	SID1_4	SID1_4	SID1_4	SID01A	SID01A	SID01A	SID01B	SID01B	SID01B	SID01C	SID01C	SID01D	SID01D	SID01D	SID01E	SID01E	SID01E	SID01F	SID01F	SID01G	SID01G	SID01G	SID01H	SID01H	SID01H	SID01I	SID01I	SID01J	SID01J	SID2_1	SID2_1	SID2_1	SID2_2	SID2_2	SID2_2	SID2_3	SID2_3	SID2_3	SID02A	SID02B	SID02C	SID3_1	SID3_1	SID3_1	SID3_2	SID3_2	SID3_2	SID3_3	SID3_5	SID3_5	SID3_6	SID3_6	SID3_6	SID3_7	SID3_7	SID3_7	SID03A	SID03B	SID03C	SID03D	SID03E	SID03F	SID03G	SID4_1	SID4_1	SID4_2	SID4_2	SID4_2	SID4_2	SID4_3	SID4_3	SID4_3	SID04B	SID04C	SID04D	SID04E	SID05A	SID05B	SID05C	SID05D	SID6_1	SID6_1	SID6_2	SID6_2	SID6_3	SID6_3	SID6_4	SID6_4	SID6_5	SID6_6	SID6_6	SID07A	SID07C	SID07D	SID07E	SID8_1	SID8_1	SID8_1	SID8_3	SID8_3	SID8_3	SID08A	SID08A	SID08A	SID08B	SID08C	SID08D	SID08D	SID08D	SID08E	SID08E	SID08E	SID08F	SID08F	SID08G	SID08G	SID08H	SID08H	SID08I	SID08I	SID08I	SID08J	SID08K	SID08K	SID08K	SID9_1	SID9_1	SID9_2	SID09A	SID09B	SID09C	SID09D	SID09E	SID10_2	SID10_2	SID10_2	SID10_3	SID10_3	SID10_3	SID10_4	SID10_4	SID10_4	SID14_1	SID14_1	SID14_1	SID14_2	SID14_2	SID14_3	SID14_3	SID14_3	SID19_1	SID19_1	SID21_1	SID21_1	SID21_1	SID21_2	SID21_2	SID21_3	SID21_3	SID21_3	SID21_4	SID21_4	SID21_4	SID24_1	SID24_1	SID24_1	SID24_2	SID24_2	SID24_3	SID24_3	SID24_3	SID24_4	SID24_4	SID25_1	SID25_1	SID25_1	SID25_3	SID25_5	SID25_5	SID25_7	SID25_7	SID25_7
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	73	73	74	68	68	69	42	42	43	30	30	31	56	56	57	64	64	64	32	32	32	32	33	31	31	32	30	31	2	2	3	28	28	28	32	33	2	3	26	26	27	4	4	5	7	7	8	34	9	0	43	43	44	3	3	4	12	5	6	11	11	12	40	40	41	67	58	19	8	29	20	3	66	67	43	43	43	44	77	77	78	18	4	50	47	46	44	7	21	33	33	32	32	9	9	5	5	3	11	11	41	44	2	4	29	29	30	3	3	4	49	49	50	63	23	20	21	20	15	15	16	13	13	11	11	8	8	27	27	27	24	3	4	3	57	57	64	40	37	13	9	5	22	22	23	3	3	4	5	5	6	1	1	2	24	24	26	26	27	57	58	55	55	56	75	76	26	26	27	0	0	1	55	55	56	44	44	15	15	16	84	84	55	55	56	19	22	22	2	2	3
infant_age	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	440	440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	75	440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
age_category	senior	senior	senior	senior	senior	senior	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	child	child	child	adult	adult	adult	adult	adult	child	child	adult	adult	adult	child	child	child	child	child	child	adult	child	newborn	adult	adult	adult	child	child	child	schoolage	child	child	child	child	schoolage	adult	adult	adult	senior	adult	child	child	adult	adult	child	senior	senior	adult	adult	adult	adult	senior	senior	senior	schoolage	child	adult	adult	adult	adult	child	adult	adult	adult	adult	adult	child	child	child	child	child	child	child	adult	adult	child	child	adult	adult	adult	child	child	child	adult	adult	adult	adult	adult	adult	adult	adult	schoolage	schoolage	schoolage	schoolage	schoolage	child	child	child	child	adult	adult	adult	adult	child	child	child	adult	adult	adult	adult	adult	schoolage	child	child	adult	adult	adult	child	child	child	child	child	child	child	child	child	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	senior	senior	adult	adult	adult	newborn	newborn	child	adult	adult	adult	adult	adult	schoolage	schoolage	schoolage	senior	senior	adult	adult	adult	adult	adult	adult	child	child	child
gender	male	male	male	female	female	female	male	male	male	male	male	male	female	female	female	male	male	male	female	female	male	male	male	female	female	female	male	male	female	female	female	female	female	female	male	male	male	male	female	female	female	female	female	female	male	male	male	female	male	male	female	female	female	male	male	male	female	female	female	female	female	female	male	male	male	male	female	male	male	female	female	male	female	female	male	male	male	male	male	male	male	female	female	female	male	female	male	female	male	male	male	female	female	female	female	male	male	male	male	male	female	male	female	male	female	female	female	female	female	female	female	female	female	male	male	male	male	male	female	female	female	male	male	male	male	male	male	female	female	female	male	male	male	male	female	female	male	male	female	male	male	female	female	female	female	female	female	female	female	female	female	NA	NA	NA	female	female	male	male	male	male	male	female	female	female	male	male	female	female	female	male	male	male	female	female	female	female	female	male	male	male	female	female	female	female	female	female	male	male	male	male	male
country	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	PER	PER	PER	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	PER	PER	PER	PER	PER	PER	PER	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	PER	PER	PER	PER	PER	PER	PER	PER	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	PER	PER	PER	PER	SLV	SLV	SLV	SLV	SLV	SLV	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	PER	SLV	SLV	SLV	PER	PER	PER	PER	PER	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV	SLV
