identifier	run	url
SRR4052021	SRR4052021	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052021/SRR4052021.sra
SRR4052022	SRR4052022	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052022/SRR4052022.sra
SRR4052033	SRR4052033	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052033/SRR4052033.sra
SRR4052038	SRR4052038	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052038/SRR4052038.sra
SRR4052039	SRR4052039	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052039/SRR4052039.sra
SRR4052040	SRR4052040	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052040/SRR4052040.sra
SRR4052041	SRR4052041	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052041/SRR4052041.sra
SRR4052042	SRR4052042	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052042/SRR4052042.sra
SRR4052043	SRR4052043	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052043/SRR4052043.sra
SRR4052044	SRR4052044	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052044/SRR4052044.sra
SRR4052023	SRR4052023	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052023/SRR4052023.sra
SRR4052024	SRR4052024	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052024/SRR4052024.sra
SRR4052025	SRR4052025	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052025/SRR4052025.sra
SRR4052026	SRR4052026	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052026/SRR4052026.sra
SRR4052027	SRR4052027	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052027/SRR4052027.sra
SRR4052028	SRR4052028	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052028/SRR4052028.sra
SRR4052029	SRR4052029	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052029/SRR4052029.sra
SRR4052030	SRR4052030	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052030/SRR4052030.sra
SRR4052031	SRR4052031	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052031/SRR4052031.sra
SRR4052032	SRR4052032	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052032/SRR4052032.sra
SRR4052034	SRR4052034	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052034/SRR4052034.sra
SRR4052035	SRR4052035	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052035/SRR4052035.sra
